run_name,preprocess_dir,run_dir,max_seq_len,embedding_dim,num_heads,num_blocks,dropout,learning_rate,weight_decay,batch_size,epochs_requested,loss_type,num_negative_samples,epochs_completed,stopped_early,best_epoch,best_valid_hr_at_10,best_valid_ndcg_at_10,test_hr_at_10,test_ndcg_at_10,best_checkpoint_path
seq50_dim128_blocks3_drop02_ce_reference,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_ce_reference,50,128,2,3,0.2,0.001,1e-05,256,20,cross_entropy,1,20,False,18,0.20281456953642385,0.11382445640333486,0.18658940397350993,0.10535078244322423,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_ce_reference\checkpoints\sasrec_best.pt
seq50_dim128_blocks3_drop02_bce_ns5_lr5e4,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns5_lr5e4,50,128,2,3,0.2,0.0005,1e-05,256,30,bce_negative_sampling,5,14,True,9,0.020364238410596026,0.00942553453644459,0.016225165562913906,0.008032742316248112,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns5_lr5e4\checkpoints\sasrec_best.pt
seq50_dim128_blocks3_drop02_bce_ns10_lr5e4,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns10_lr5e4,50,128,2,3,0.2,0.0005,1e-05,256,30,bce_negative_sampling,10,18,True,13,0.021357615894039735,0.009093834343822492,0.020860927152317882,0.009246251149092718,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns10_lr5e4\checkpoints\sasrec_best.pt
seq50_dim128_blocks3_drop02_bce_ns10_lr1e4,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns10_lr1e4,50,128,2,3,0.2,0.0001,1e-05,256,30,bce_negative_sampling,10,11,True,6,0.007947019867549669,0.0028290642765130543,0.006456953642384106,0.002918296142799696,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns10_lr1e4\checkpoints\sasrec_best.pt
