run_name,preprocess_dir,run_dir,max_seq_len,embedding_dim,num_heads,num_blocks,dropout,learning_rate,weight_decay,batch_size,epochs_requested,epochs_completed,stopped_early,best_epoch,best_valid_hr_at_10,best_valid_ndcg_at_10,test_hr_at_10,test_ndcg_at_10,best_checkpoint_path
baseline_seq50_dim64_drop02,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\baseline_seq50_dim64_drop02,50,64,2,2,0.2,0.001,1e-05,256,20,20,True,17,0.1947019867549669,0.10684433651989592,0.1759933774834437,0.1011693194388104,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\baseline_seq50_dim64_drop02\checkpoints\sasrec_best.pt
seq50_dim64_drop05,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim64_drop05,50,64,2,2,0.5,0.001,1e-05,256,20,20,False,20,0.1541390728476821,0.08056460238270002,0.13559602649006622,0.07265867028927496,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim64_drop05\checkpoints\sasrec_best.pt
seq50_dim128_drop02,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop02,50,128,2,2,0.2,0.001,1e-05,256,20,15,True,12,0.19768211920529802,0.10887374759467833,0.17947019867549668,0.10236395188825345,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop02\checkpoints\sasrec_best.pt
seq50_dim128_drop05,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop05,50,128,2,2,0.5,0.001,1e-05,256,20,20,False,18,0.1740066225165563,0.09533182567367111,0.15314569536423842,0.0857423796148167,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop05\checkpoints\sasrec_best.pt
