run_name,preprocess_dir,run_dir,max_seq_len,embedding_dim,num_heads,num_blocks,dropout,learning_rate,weight_decay,batch_size,epochs_requested,loss_type,num_negative_samples,epochs_completed,stopped_early,best_epoch,best_valid_hr_at_10,best_valid_ndcg_at_10,test_hr_at_10,test_ndcg_at_10,best_checkpoint_path
seq50_dim128_blocks3_drop02_ce,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_ce,50,128,2,3,0.2,0.001,1e-05,256,20,cross_entropy,1,20,False,18,0.20281456953642385,0.11382445640333486,0.18658940397350993,0.10535078244322423,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_ce\checkpoints\sasrec_best.pt
seq50_dim128_blocks3_drop02_bce_ns1,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns1,50,128,2,3,0.2,0.001,1e-05,256,20,bce_negative_sampling,1,10,True,7,0.022682119205298012,0.009431989823338588,0.02119205298013245,0.009746045923646767,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02_bce_ns1\checkpoints\sasrec_best.pt
