run_name,preprocess_dir,run_dir,max_seq_len,embedding_dim,num_heads,num_blocks,dropout,learning_rate,weight_decay,batch_size,epochs_requested,epochs_completed,stopped_early,best_epoch,best_valid_hr_at_10,best_valid_ndcg_at_10,test_hr_at_10,test_ndcg_at_10,best_checkpoint_path
seq50_dim128_drop02,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop02,50,128,2,2,0.2,0.001,1e-05,256,20,15,True,12,0.19768211920529802,0.10887374759467833,0.17947019867549668,0.10236395188825345,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop02\checkpoints\sasrec_best.pt
seq50_dim128_drop03,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop03,50,128,2,2,0.3,0.001,1e-05,256,20,20,False,18,0.19552980132450332,0.10835012013101128,0.1783112582781457,0.10205342865445056,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop03\checkpoints\sasrec_best.pt
seq50_dim128_drop04,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop04,50,128,2,2,0.4,0.001,1e-05,256,20,20,False,18,0.18841059602649007,0.10253026512115071,0.17069536423841059,0.0974136208392556,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_drop04\checkpoints\sasrec_best.pt
seq50_dim128_blocks3_drop02,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\prepared_data\seq_len_50,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02,50,128,2,3,0.2,0.001,1e-05,256,20,20,False,18,0.20281456953642385,0.11382445640333486,0.18658940397350993,0.10535078244322423,D:\Python\Artificial Intelligence\projects\reinforcement_learning\movielens_1m_sasrec_baseline\artifacts\experiments\seq50_dim128_blocks3_drop02\checkpoints\sasrec_best.pt
